,year,quantity,load_factor,breakdown_voltage,water_content,acidity,color,interfacial_tension,h2,ch4,c2h6,c2h4,c2h2,co,coh2,impact_index,hi1,hi2,hi3,hi4
0,1990,,,,,,,,,,,,,,,,,,,
1,1991,,,,,,,,,,,,,,,,,,,
2,1992,,,,,,,,,,,,,,,,,,,
3,1993,,,,,,,,102.0,33.0,9.0,40.0,56.0,1010.0,6.8,,,25.0,4.8057227,25.0
4,1994,,,,,,,,57.0,29.0,9.0,36.0,44.0,969.0,6.8,,,,4.479472,
5,1995,,,,,,,,,,,,,,,,,,,
6,1996,,,34.6,16.6,0.133,3.75,21.3,28.0,23.0,7.0,17.0,18.0,867.0,6.8,,,,3.4088528,27.777779
7,1997,0.74,,56.8,16.5,0.126,3.75,20.1,27.0,23.0,6.0,17.0,21.0,907.0,6.7,,,32.142857,10.888972,35.869564
8,1998,1.73,,46.4,17.45,0.116,3.775,20.6,39.0,15.0,6.8,17.0,24.0,1265.0,8.4,,,26.190475,18.2582875,26.086956
9,1999,1.64,,88.4,8.6,0.151,4.0,21.2,46.6,24.4,7.0,15.1,14.2,1201.6,7.97,,,,16.698103,
10,2000,1.99,,40.5,25.4,0.142,3.75,20.8,35.4,22.5,6.3,10.9,17.4,1044.2,8.53,,,,16.202866,21.73913
11,2001,2.63,,48.9,21.3,0.178,4.0,18.1,27.9,51.1,14.6,61.3,13.2,815.7,8.65,,,,15.999986,30.434782
12,2002,1.045,,52.4,11.75,0.0825,2.25,25.95,17.75,11.4,3.2,5.5,5.75,493.95,3.98,5.0,38.8333336,65.227272,7.258087675,60.869565
13,2003,0.06,,70.8,4.5,0.01,0.75,31.3,14.8,13.6,7.4,4.2,2.4,156.1,1.09,0.0,5.24861862,75.0,3.890025,
14,2004,0.14,,72.4,6.2,0.021,1.25,30.9,38.2,44.1,30.7,10.0,4.5,270.0,2.06,0.0,7.557947,70.90908999999999,6.541977,83.695656
15,2005,0.2,,51.3,5.7,0.042,1.25,30.7,34.7,54.4,46.4,11.0,3.2,247.9,2.74,0.0,11.233183666666667,68.63636,6.8014197,75.0
16,2006,0.34,,74.6,6.2,0.022,0.75,29.8,47.7,96.7,84.1,21.0,4.0,378.4,5.27,2.0,16.10467475,66.13636500000001,9.582283,58.695652
17,2007,0.22,,73.6,6.5,0.019,0.75,29.9,54.4,88.9,76.0,19.6,4.4,335.4,4.38,2.0,20.657624666666667,67.727273,9.376699,64.13043
18,2008,0.22,,72.1,4.4,0.015,1.25,27.8,53.5,123.4,108.4,26.0,4.0,411.9,5.34,0.0,23.4375,,10.0349655,53.260868
19,2009,0.27,,80.2,5.1,0.013,1.25,29.1,54.9,128.1,117.6,28.2,3.6,384.2,5.4,,27.678019,66.81818,10.226556,47.826088
20,2010,1.105,,78.60000000000001,7.5,0.08766666666666667,2.1666666666666665,25.96666666666667,23.96666666666667,28.900000000000002,28.933333333333334,12.9,12.700000000000001,460.5,3.9399999999999995,,28.145161,67.5,9.925418533333334,64.13043599999999
21,2011,,0.44976851666666656,,,,,,,,,,,,,-2.0,36.02362,63.666668,22.040201363636367,
22,2012,1.97,0.4599537100000001,43.5,17.6,0.232,4.5,17.2,46.8,16.0,6.2,15.6,29.8,1031.0,6.38,2.0,39.93270149999999,,21.397237923076926,21.73913
23,2013,,0.4344907433333334,,,,,,,,,,,,,,,,21.054279583333333,
24,2014,1.53,0.38842592333333337,49.2,13.1,0.354,4.0,17.0,42.3,18.4,7.8,20.7,27.9,1215.7,6.59,-2.0,44.89748733333334,,22.70388841666667,
25,2015,1.53,0.38611111000000004,47.0,19.0,0.26,4.0,17.0,41.0,14.0,6.0,4.0,24.0,1190.0,6.07,0.0,47.726418,,22.258268384615384,
26,2016,1.53,0.3856481516666666,61.0,13.0,0.26,4.5,17.0,33.0,13.0,7.0,0.9,20.0,1050.0,6.97,0.0,49.377352,,20.53714761538462,30.434782
27,2017,,,,,,,,,,,,,,,0.0,49.8324,,,
28,2018,,,,,,,,,,,,,,,,,,,
29,2019,,,,,,,,,,,,,,,,,,,
30,2020,,,,,,,,,,,,,,,,,,,
